Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,Colombo,Colombo,Member,Female,Ayurvedic & Personal Care,22407,7,7842.45,164691.45,1/5/2019,1:08:00 PM,Mobile Payment,156849,4.761904762,7842.45,9.1
226-31-3081,Kandy,Kandy,Normal,Female,Mobile & Accessories,4584,5,1146,24066,3/8/2019,10:29:00 AM,Cash,22920,4.761904762,1146,9.6
631-41-3108,Colombo,Colombo,Normal,Female,Household Essentials,13899,7,4864.65,102157.65,3/3/2019,1:23:00 PM,Credit Card,97293,4.761904762,4864.65,7.4
123-19-1176,Colombo,Colombo,Member,Female,Ayurvedic & Personal Care,17466,8,6986.4,146714.4,1/27/2019,8:33:00 PM,Mobile Payment,139728,4.761904762,6986.4,8.4
373-73-7910,Colombo,Colombo,Member,Female,Travel Packs & Gear,25893,7,9062.55,190313.55,2/8/2019,10:37:00 AM,Mobile Payment,181251,4.761904762,9062.55,5.3
699-14-3026,Kandy,Kandy,Member,Female,Mobile & Accessories,25617,7,8965.95,188284.95,3/25/2019,6:30:00 PM,Mobile Payment,179319,4.761904762,8965.95,4.1
355-53-5943,Colombo,Colombo,Member,Female,Mobile & Accessories,20652,6,6195.6,130107.6,2/25/2019,2:36:00 PM,Mobile Payment,123912,4.761904762,6195.6,5.8
315-22-5665,Kandy,Kandy,Member,Female,Household Essentials,22068,10,11034,231714,2/24/2019,11:38:00 AM,Mobile Payment,220680,4.761904762,11034,8
665-32-9167,Colombo,Colombo,Member,Female,Ayurvedic & Personal Care,10878,2,1087.8,22843.8,1/10/2019,5:15:00 PM,Credit Card,21756,4.761904762,1087.8,7.2
692-92-5582,Galle,Galle,Member,Female,Grocery & Snacks,16452,3,2467.8,51823.8,2/20/2019,1:27:00 PM,Credit Card,49356,4.761904762,2467.8,5.9
351-62-0822,Galle,Galle,Member,Female,Apparel & Footwear,4344,4,868.8,18244.8,2/6/2019,6:07:00 PM,Mobile Payment,17376,4.761904762,868.8,4.5
529-56-3974,Galle,Galle,Member,Female,Mobile & Accessories,7653,4,1530.6,32142.6,3/9/2019,5:03:00 PM,Cash,30612,4.761904762,1530.6,6.8
365-64-0515,Colombo,Colombo,Member,Female,Mobile & Accessories,14085,5,3521.25,73946.25,2/12/2019,10:25:00 AM,Mobile Payment,70425,4.761904762,3521.25,7.1
